ID,Эпик,Задача,Описание,Роль,Фаза,Начало,Срок,"Оценка, дни",Приоритет,Зависит от,Метки
BYT-16,Генераторы egegen (27 заданий),Генератор 8 · Комбинаторика,Перебор до 3·10⁶ или формула с проверкой на малом размере; номер слова. 3 дня.,Разработчик генераторов,Фаза 1,2026-10-29,2026-11-02,3,High,BYT-11,"egegen,generator"
BYT-17,Генераторы egegen (27 заданий),Генератор 11 · Информационный объём,"Алфавиты, двойное округление, обратные подтипы с проверкой единственности. 3 дня. (Лид, параллельно)",Лид (full-stack),Фаза 1,2026-10-19,2026-10-21,3,High,BYT-11,"egegen,generator"
BYT-18,Генераторы egegen (27 заданий),Генератор 5 · Алгоритм над двоичной записью,"DSL шагов, перебор до 10⁵, подтип «не может быть результатом». 4 дня. (Лид)",Лид (full-stack),Фаза 1,2026-10-22,2026-10-27,4,High,BYT-11,"egegen,generator"
BYT-19,Генераторы egegen (27 заданий),Генератор 12 · Редактор,"Завершимость правил (лимит 10⁶), длинные строки с закономерностью. 4 дня.",Разработчик генераторов,Фаза 1,2026-11-03,2026-11-06,4,High,BYT-11,"egegen,generator"
BYT-20,Генераторы egegen (27 заданий),Генератор 10 · Маска подсети (формат 2027),"ipaddress, answer_transform = сумма октетов (конфигурируемо). 3 дня.",Лид (full-stack),Фаза 1,2026-10-28,2026-10-30,3,High,BYT-11,"egegen,generator,fipi-2027"
BYT-21,Генераторы egegen (27 заданий),Генератор 14 · Системы счисления,"Точная арифметика, неизвестная цифра с проверкой единственности. 3 дня.",Разработчик генераторов,Фаза 1,2026-11-09,2026-11-11,3,High,BYT-11,"egegen,generator"
BYT-22,Ядро дейликов и экономика,"Дейлики: планировщик v1, выдача 3+2 задач, приём ответов","Слоты, seed = user+date+type, проверка ответа чекером, запись attempts.",Лид (full-stack),Фаза 1,2026-10-09,2026-10-14,4,Highest,"BYT-9,BYT-10,BYT-11",backend
BYT-23,Ядро дейликов и экономика,"Монеты: кошелёк, транзакции, тариф наград, порог 30 / кэп 120","Идемпотентные транзакции, модификаторы за сложность/подсказки, лог для аудита.",Лид (full-stack),Фаза 1,2026-10-14,2026-10-16,3,Highest,BYT-22,"backend,economy"
BYT-24,Ядро дейликов и экономика,"Серия: стрик, заморозки, отпуск, «лёгкий день»",Расчёт по часовому поясу пользователя; правила из 4.3.,Лид (full-stack),Фаза 1,2026-10-16,2026-10-19,2,High,BYT-23,backend
BYT-25,Ядро дейликов и экономика,XP-ранги (независимый от монет прогресс),"Таблица рангов, начисление за попытки, отображение в профиле.",Лид (full-stack),Фаза 1,2026-10-19,2026-10-20,1,Medium,BYT-23,backend
BYT-26,Клиент: экраны и UX,Экран «Сегодня» и экран задачи (ответ числом/строкой),"Статусы дейликов, таймер, поле ответа с подписью формата, реакция на результат.",Лид (full-stack),Фаза 1,2026-10-12,2026-10-16,4,Highest,"BYT-8,BYT-22",client
BYT-27,Клиент: экраны и UX,"Экран «Прогресс»: график монет по дням, серия, ранг","Чарт за 7/30 дней, порог и кэп на графике, история транзакций.",Лид (full-stack),Фаза 1,2026-10-19,2026-10-21,2,High,BYT-23,client
BYT-28,Клиент: экраны и UX,"Онбординг ≤3 мин: выбор диапазона, первая задача, куратор (пропустить)","5 экранов, первая задача гарантированно решаемая, первые монеты в первую минуту.",Лид (full-stack),Фаза 1,2026-10-21,2026-10-23,2,Highest,BYT-26,client
BYT-29,Адаптивная система и шкала уверенности,Шкала уверенности v1 (по попыткам) и экран «Уверенность»,"confidence = f(acc, speed) по 27 заданиям; экран с полосками и «что дальше».",Лид (full-stack),Фаза 1,2026-10-22,2026-10-24,2,High,BYT-22,"backend,client"
BYT-30,Адаптивная система и шкала уверенности,"Причины затруднений: 8 кодов, выбор после неидеального решения","UI-чипы, запись в attempts, первичная реакция планировщика.",Лид (full-stack),Фаза 1,2026-10-23,2026-10-26,2,High,BYT-26,"backend,client"
BYT-31,Уведомления,Уведомления «дейлики открыты» и «серия под угрозой» (aiogram),"Воркер рассылки, тихие часы, лимит 2/день, отписка в настройках.",Лид (full-stack),Фаза 1,2026-10-24,2026-10-27,2,High,"BYT-6,BYT-24",bot
BYT-32,Генераторы egegen (27 заданий),"Карточки методов для заданий 1, 2, 4, 5, 7, 8, 10, 11, 12, 14",Текст «Как решать / лайфхаки / ловушки» + шаблон кода; приёмка 20 экземпляров на каждый генератор.,Методист,Фаза 1,2026-10-12,2026-11-02,8,High,BYT-12,content
BYT-33,Платформа и инфраструктура,"Закрытая альфа: 10–15 учеников, сбор обратной связи","Веха «Альфа» 26 октября: 10 генераторов проходят property-тесты, ученики решают дейлики 5 дней подряд.",Вся команда,Фаза 1,2026-10-26,2026-11-02,2,Highest,"BYT-28,BYT-31",milestone
BYT-34,Раннер кода и антисписывание,"Pyodide-раннер в клиенте: ленивая загрузка, виртуальная ФС, файлы задач","Загрузка по требованию, кэширование, лимит времени 3 с, вывод stdout/stderr.",Лид (full-stack),Фаза 2,2026-11-03,2026-11-09,5,Highest,BYT-26,"client,runner"
BYT-35,Клиент: экраны и UX,"Редактор кода (CodeMirror): Python, шаблон одним тапом, «Объяснить строку»","Мобильная раскладка, кнопка «Шаблон», подсветка, автосохранение черновика.",Лид (full-stack),Фаза 2,2026-11-09,2026-11-12,3,High,BYT-34,client
BYT-36,Генераторы egegen (27 заданий),Генератор 16 · Рекурсия,"Семейства определений, решатель снизу вверх, ограничение длины ответа. 3 дня.",Разработчик генераторов,Фаза 2,2026-11-12,2026-11-16,3,High,BYT-11,"egegen,generator"
BYT-37,Генераторы egegen (27 заданий),Генератор 19–21 · Теория игр (один шаблон),"Параметры, при которых 19/20/21 имеют требуемое число ответов; наивный минимакс глубины 4. 5 дней.",Разработчик генераторов,Фаза 2,2026-11-17,2026-11-23,5,High,BYT-11,"egegen,generator"
BYT-38,Генераторы egegen (27 заданий),Генератор 17 · Числовая последовательность (файл),"5–10 тыс. чисел с подсаженными парами, 20 шаблонов условий, скрытый вариант. 4 дня.",Разработчик генераторов,Фаза 2,2026-11-24,2026-11-27,4,High,BYT-34,"egegen,generator"
BYT-39,Генераторы egegen (27 заданий),Генератор 15 · Логика с параметром (4 подтипа),"Грамматика с монотонным множеством допустимых A, проверка на 10⁴ точках. 6 дней. (Лид)",Лид (full-stack),Фаза 2,2026-11-12,2026-11-19,6,High,BYT-11,"egegen,generator"
BYT-40,Генераторы egegen (27 заданий),Генератор 22 · Параллельные процессы,"DAG 8–15 процессов, табличный файл + CSV. 4 дня. (Лид)",Лид (full-stack),Фаза 2,2026-11-20,2026-11-25,4,High,BYT-11,"egegen,generator"
BYT-41,Генераторы egegen (27 заданий),Генератор 13 · Число программ исполнителя (бывшее 23),"ДП, немонотонные команды, ответ в [3; 5000]. 4 дня.",Разработчик генераторов,Фаза 2,2026-11-30,2026-12-03,4,High,BYT-11,"egegen,generator,fipi-2027"
BYT-42,Генераторы egegen (27 заданий),Генератор 6 · Черепаха,"Семейства фигур, численный подсчёт с допуском, схема без сетки (SVG). 6 дней.",Разработчик генераторов,Фаза 2,2026-12-04,2026-12-11,6,High,BYT-11,"egegen,generator"
BYT-43,Карта этажей и магазин,"Карта этажей: 13 этажей, боссы, открытие за монеты и «экстерн»","Конфиг этажей (season_id), стоимость 150+25·n, экстерн 3/3 раз в сутки.",Лид (full-stack),Фаза 2,2026-11-16,2026-11-20,4,High,BYT-23,"backend,client"
BYT-44,Карта этажей и магазин,"Магазин: разборы (первый в день бесплатно), подсказки, заморозки","Прайс из 5.3, транзакции, защитные клапаны 5.5.",Лид (full-stack),Фаза 2,2026-11-20,2026-11-24,3,High,BYT-43,"backend,client"
BYT-45,Адаптивная система и шкала уверенности,Стартовый адаптивный тест (placement),"10–12 задач с ветвлением, инициализация Эло по подтипам, выбор стартового этажа.",Лид (full-stack),Фаза 2,2026-11-24,2026-11-26,2,High,BYT-29,"backend,client"
BYT-46,Адаптивная система и шкала уверенности,"Модель навыков: Эло по ~80 подтипам, mastery, забывание","Обновление после каждой попытки, decay по времени, экспорт в шкалу уверенности.",Лид (full-stack),Фаза 2,2026-11-26,2026-11-30,3,High,BYT-29,backend
BYT-47,Куратор,"Куратор v1: deep-link приглашение, роли, уровни доступа, ежедневная сводка","Связь ученик↔куратор, 3 уровня доступа, отзыв доступа, сводка в бот.",Лид (full-stack),Фаза 2,2026-11-27,2026-12-01,3,High,BYT-31,"backend,bot"
BYT-48,Генераторы egegen (27 заданий),"Сверка с утверждённой демоверсией ФИПИ, правка генераторов 10/13/23/27","Как только ФИПИ опубликует (10–15 ноября): сравнить формулировки, обновить конфиги answer_transform/формат, баннер в приложении. Резерв 3 дня.",Методист,Фаза 2,2026-11-10,2026-11-17,3,Highest,BYT-20,"fipi-2027,risk"
BYT-49,Генераторы egegen (27 заданий),"Карточки методов для 6, 13, 15, 16, 17, 19–21, 22 + приёмка экземпляров","По 20 экземпляров на генератор, калибровка сложности 1–5.",Методист,Фаза 2,2026-11-12,2026-12-11,8,High,BYT-36,content
BYT-50,Клиент: экраны и UX,Веб-версия (без Telegram): вход по ссылке из бота,"Тот же клиент, авторизация по одноразовому токену из бота; полные файлы 24/27 здесь.",Лид (full-stack),Фаза 2,2026-11-30,2026-12-02,2,Medium,BYT-9,client
BYT-51,Платформа и инфраструктура,Открытая бета 1 декабря,"Веха «Бета»: 19 генераторов, этажи, куратор v1, D7 ≥ 25 % в альфе.",Вся команда,Фаза 2,2026-12-01,2026-12-01,1,Highest,"BYT-43,BYT-47,BYT-48",milestone
BYT-52,Клиент: экраны и UX,"Мини-грид для табличных заданий: фильтр, сортировка, жирные стены, «Скачать .ods»","Компонент для 3, 9, 18, 22; экспорт CSV в виртуальную ФС Pyodide.",Лид (full-stack),Фаза 3,2026-12-01,2026-12-05,4,High,BYT-34,client
BYT-53,Генераторы egegen (27 заданий),Генератор 3 · Реляционная БД,"Синтетические справочники, 300–1200 операций, 12 шаблонов вопросов, отсев ловушечных ответов. 5 дней.",Разработчик генераторов,Фаза 3,2026-12-14,2026-12-18,5,High,BYT-52,"egegen,generator"
BYT-54,Генераторы egegen (27 заданий),Генератор 9 · Электронная таблица,"3–6 тыс. строк, 15 шаблонов условий, ответ в [3; N/4]. 5 дней.",Разработчик генераторов,Фаза 3,2026-12-21,2026-12-25,5,High,BYT-52,"egegen,generator"
BYT-55,Генераторы egegen (27 заданий),Генератор 18 · Робот-сборщик со стенами,"N 6–12, стены 10–25 %, достижимость, walls.json. 5 дней. (Лид)",Лид (full-stack),Фаза 3,2026-12-07,2026-12-11,5,High,BYT-52,"egegen,generator"
BYT-56,Генераторы egegen (27 заданий),Генератор 23 · Графы (в утверждённом формате),Взвешенный граф 7–14 вершин с единственным кратчайшим путём; слоистый DAG; конфиг формата входа. 6 дней.,Разработчик генераторов,Фаза 3,2026-12-28,2027-01-06,6,Highest,BYT-48,"egegen,generator,fipi-2027"
BYT-57,Генераторы egegen (27 заданий),Генератор 25 · Делители и маски,Диапазон и условие подбираются под 1–8 пар и 3 с на Pyodide; чекер pairs_list. 7 дней. (Лид),Лид (full-stack),Фаза 3,2026-12-21,2026-12-29,7,High,BYT-11,"egegen,generator"
BYT-58,Генераторы egegen (27 заданий),Генератор 24 · Длинная строка,"10⁵–10⁶ символов, подсаженные участки, наивная проверка на префиксе; «мини-файл» для телефона. 7 дней.",Разработчик генераторов,Фаза 3,2027-01-07,2027-01-15,7,High,BYT-34,"egegen,generator"
BYT-59,Режим «Экзамен»,"Режим «Экзамен»: полный / половина / блок, стиль КЕГЭ, таймер, итоги","Сборка варианта из 27 генераторов, 1 бесплатный в месяц, отчёт по заданиям, влияние на уверенность.",Лид (full-stack),Фаза 3,2026-12-11,2026-12-18,5,Highest,"BYT-43,BYT-34","backend,client"
BYT-60,Адаптивная система и шкала уверенности,Шкала уверенности v2: экзамен + причины + прогноз балла,"0,6·mastery + 0,2·acc + 0,1·speed + 0,1·self; прогноз первичных и тестовых.",Лид (full-stack),Фаза 3,2026-12-18,2026-12-21,2,High,"BYT-46,BYT-59","backend,client"
BYT-61,Раннер кода и антисписывание,Серверный раннер (nsjail) и перепроверка кода на скрытом варианте,"Очередь ARQ, лимиты CPU/памяти/времени, метод-чек, вердикт в attempts.",Лид (full-stack),Фаза 3,2026-12-14,2026-12-20,5,Highest,BYT-34,"backend,runner,anticheat"
BYT-62,Куратор,"Дашборд куратора, «пинок», фокус-тема, недельный отчёт","Режим интерфейса куратора, действия с лимитами, отчёт в бот по понедельникам.",Лид (full-stack),Фаза 3,2026-12-22,2026-12-26,3,High,BYT-47,"client,bot"
BYT-63,Генераторы egegen (27 заданий),"Карточки методов 3, 9, 18, 23, 24, 25 + приёмка",20 экземпляров на генератор; для 23 — после утверждённого формата.,Методист,Фаза 3,2026-12-07,2027-01-15,6,High,BYT-53,content
BYT-64,Платформа и инфраструктура,Релиз «Экзамен» 22 декабря,Веха: полный вариант проходится end-to-end; перепроверка кода работает.,Вся команда,Фаза 3,2026-12-22,2026-12-22,1,Highest,"BYT-59,BYT-61",milestone
BYT-65,Генераторы egegen (27 заданий),Генератор 26 · Сортировка и жадность,"Сценарные шаблоны, N до 10⁵, наивный решатель на N ≤ 20, единственность второго ответа. 10 дней. (Лид)",Лид (full-stack),Фаза 4,2026-12-28,2027-01-11,10,High,BYT-34,"egegen,generator"
BYT-66,Генераторы egegen (27 заданий),"Генератор 27 · Два файла, эффективный алгоритм (формат 2027)","Асинхронная генерация B (10⁶, gzip), мини-B для телефона, ответ в одну строку. 12 дней. Критический путь: параллельно с 24; при срыве — запуск с флагом beta и полный выпуск к 1 февраля.",Разработчик генераторов,Фаза 4,2027-01-04,2027-01-18,12,Highest,BYT-34,"egegen,generator,fipi-2027"
BYT-67,Генераторы egegen (27 заданий),Трек «Python-минимум»: 8 микро-уроков как генераторы упражнений,Ответ — вывод программы или число; критерий 80 % с первой попытки; кнопка «Объяснить строку».,Разработчик генераторов,Фаза 4,2027-01-04,2027-01-08,4,Medium,BYT-11,"egegen,content"
BYT-68,Ядро дейликов и экономика,Режим «Вызов» и лига группы (за флагом),"Сложность 5/5, отдельный слот, лига только внутри группы куратора.",Лид (full-stack),Фаза 4,2027-01-11,2027-01-13,2,Medium,BYT-43,"backend,client"
BYT-69,Клиент: экраны и UX,"Косметика: иконки этажей, анимации, звук, тёмная тема — финализация",По UI-киту; проверка на дешёвых Android.,Дизайнер,Фаза 4,2027-01-04,2027-01-13,5,Low,BYT-3,"design,client"
BYT-70,Аналитика и метрики,"PostHog: события из 15.3, дашборды здоровья экономики и воронки","Событийная модель, дашборды: D1/D7/D30, порог/кэп, отношения 5.4, ошибки генераторов.",Лид (full-stack),Фаза 4,2027-01-04,2027-01-07,3,High,BYT-23,analytics
BYT-71,"Безопасность, право, надёжность","Нагрузочное тестирование 5× и 20 000 DAU, p95 API < 200 мс","k6/locust, кэш планов, горизонтальное масштабирование раннера.",Лид (full-stack),Фаза 4,2027-01-11,2027-01-14,3,High,BYT-61,"infra,performance"
BYT-72,"Безопасность, право, надёжность","Бэкапы, восстановление, runbook инцидентов","Проверка восстановления из бэкапа на stage, алерты, дежурство.",Лид (full-stack),Фаза 4,2027-01-14,2027-01-15,1,High,BYT-5,infra
BYT-73,"Безопасность, право, надёжность","Юридические документы в продакшене: политика, согласие, куратор-родитель","Тексты от юриста, экраны согласия, подтверждение родителя через куратора.",Лид (full-stack),Фаза 4,2027-01-04,2027-01-08,2,Highest,BYT-7,legal
BYT-74,Платформа и инфраструктура,Публичный запуск 18 января 2027,"Веха: 27 генераторов, < 0,5 % тикетов об ошибках за 2 недели беты, p95 < 200 мс под 5× нагрузкой.",Вся команда,Фаза 4,2027-01-18,2027-01-18,1,Highest,"BYT-64,BYT-66,BYT-71,BYT-73",milestone
BYT-75,Live-ops (после запуска),Еженедельно: калибровка learning_cost и сложности по данным,"Скрипт пересчёта, ревью методиста, выкладка конфигов без релиза.",Методист,Фаза 5,2027-01-19,2027-05-31,1,Medium,BYT-74,liveops
BYT-76,Live-ops (после запуска),Еженедельно: балансировка экономики и разбор тикетов об ошибках генераторов,"Мониторинг отношений 5.4, возврат монет по тикетам, бета-флаг для новых подтипов.",Разработчик генераторов,Фаза 5,2027-01-19,2027-05-31,1,Medium,BYT-74,liveops
BYT-77,Live-ops (после запуска),Февраль: сверка формата после досрочного периода,"Проверить фактические варианты досрочного ЕГЭ, обновить шаблоны формулировок.",Методист,Фаза 5,2027-02-01,2027-02-28,2,High,BYT-48,"fipi-2027,liveops"
BYT-78,Live-ops (после запуска),Март–апрель: «весенние пробники» по субботам и обновление шкалы баллов,Бесплатные полные варианты; официальная шкала после досрочного периода — в приложение.,Лид (full-stack),Фаза 5,2027-03-01,2027-04-30,3,Medium,BYT-59,liveops
BYT-79,Live-ops (после запуска),"Май: «финальный спринт» — режим повторения, 4 бесплатных экзамена, заморозка новых этажей за 10 дней",Отдельный конфиг сезона; уведомления с расписанием повторения.,Лид (full-stack),Фаза 5,2027-05-01,2027-05-31,3,High,BYT-59,liveops
BYT-80,Live-ops (после запуска),"Июнь: опрос «какой балл получил», валидация прогноза, ретроспектива","Корреляция прогноза с фактом (цель r ≥ 0,7), выводы для сезона 2028.",Вся команда,Фаза 5,2027-06-01,2027-06-30,2,High,BYT-60,liveops
